1253,656
949,990
875,1265
915,1669
929,1799
1049,2135
1073,2731
1157,2721
1467,2695
1095,1041
1179,1283
1193,1423
1231,1655
1229,1761
1601,845
1727,671
2005,1105
1691,1379
2285,839
2513,819
2805,793
2313,1099
3085,1049
2475,1314
2543,1427
1487,1757
1653,1753
1933,1735
2133,1509
2222,1635
2279,1815
2395,1507
2487,1627
2561,1771
2635,1559
2725,1697
2933,1677
2861,1885
2973,2043
3047,2179
3137,2315
2711,2033
2793,2157
2871,2289
2957,2427
2913,2551
3001,2717
2249,2043
2341,2175
2433,2309
2509,2437
2591,2565
2761,2835
2447,2871
2225,2873
3581,981
3603,1133
3617,1231
3529,1371
3611,1505
3545,1663
3621,1719
3729,1905
3565,1939
3571,2071
3531,2165
